Name,URL,Income,Pages,Size,404,500,Robots
SOUTHERN MEMORIAL ASSOCIATION,gravegarden.org,262268.0,1559,261259292,105,0,True
FRIENDS OF THE THOMAS BALCH LIBRARY,www.balchfriends.org,36989.0,0,0,0,0,False
EASTERN SHORE OF VIRGINIA BARRIER ISLANDS CENTER INC,www.barrierislandscenter.com,841509.0,4,2097,0,0,True
MOSBY HERITAGE AREA ASSOCIATION INC,www.mosbyheritagearea.org,235776.0,585,111747297,32,0,True
THE LEGACY PROJECT INC,legacymuseum.org,56939.0,2569,61643965,408,0,True
DANVILLE SCIENCE CENTER INC,dsc.smv.org,1063802.0,64,8039504,4,0,True
SMITHFIELD-PRESTON FOUNDATION,www.smithfieldplantation.org,82313.0,254,58884477,12,0,False
JACOBS PILLOW DANCE FESTIVAL,www.jacobspillow.org,6144386.0,0,0,0,0,False
SAUDER MUSEUM FARM AND CRAFT VILLAGE,www.saudervillage.org,22848127.0,2,2859,0,2,False
UPTOWN ARTS FOUNDATIONS,uptownarts.org,353086.0,23,526896,2,0,True
MONTSHIRE MUSEUM OF SCIENCE,www.montshire.org,2894629.0,593,4456523,0,0,True
NATIONAL WOMENS HISTORY MUSEUM,www.nwhm.org,1748262.0,3327,422726234,16,0,False
KERNSTOWN BATTLEFIELD ASSOCIATION INC,www.kernstownbattle.org,44906.0,0,0,0,0,False
ESSEX COUNTY MUSEUM AND HISTORICAL SOCIETY INC,essexmuseum.org,100029.0,596,214333768,1,0,False
MARTINSVILLE-HENRY COUNTY HISTORICAL SOCIETY,www.mhchistoricalsociety.com,27166.0,0,0,0,0,False
TREVILIAN STATION BATTLEFIELD FNDTN,www.trevilianstation.org,16972.0,0,0,0,0,False
AFRICAN AMERICAN HISTORICAL SOCIETY OF PORTSMOUTH INC,www.blackhistoryportsmouth.org,22680.0,0,0,0,0,False
VIRGINIA HOLOCAUST MUSEUM,www.va-holocaust.com,853458.0,2086,127604474,11,0,True
ROBERT R MOTON MUSEUM INC,www.motonmuseum.org,1250316.0,1034,104562331,235,0,True
ARTISANS CENTER OF VIRGINIA,www.artisanscenterofvirginia.org,82400.0,0,0,0,0,False
ISLE OF WIGHT COUNTY MUSEUM FOUNDATION INC,www.historicisleofwight.com,72421.0,353,203556487,3,0,True
OLD COURTHOUSE CIVIL WAR MUSEUM,www.relicman.com,65228.0,57944,2101762388,97,0,False
MATHEWS MARITIME FOUNDATION,www.mathewsmaritime.com,63659.0,0,0,0,0,False
LOUDOUN HERITAGE FARM MUSEUM,www.heritagefarmmuseum.org,212424.0,3,1929,0,0,True
MICHAUX-ST JAMES FOUNDATION INC,www.msjf.org,40967.0,0,0,0,0,False
BOXERWOOD EDUCATION ASSOCIATION INCORPORATED,boxerwood.org,255329.0,0,0,0,0,False
DISCOVERY OF FLIGHT FOUNDATION,www.discoveryofflight.org,15401.0,0,0,0,0,False
STEAMBOAT MUSEUM AT IRVINGTON INC,www.steamboateramuseum.org,160838.0,441,43555959,21,0,True
CHRISTIANSBURG INSTITUTE INC,www.christiansburginstitute.org,29376.0,0,0,0,0,False
HULLS ANGELS INC,www.hullsdrivein.com,280652.0,0,0,0,0,False
THE AMERICAN CIVIL WAR CENTER AT HISTORIC TREDEGAR,www.tredegar.org,3140992.0,3,2208,1,0,True
HISTORIC SANDUSKY FOUNDATION,www.historicsandusky.org,271668.0,240,22519538,3,0,False
LEWIS GINTER BOTANICAL GARDEN FOUNDATION,www.lewisginter.org,1228040.0,19102,3789981504,593,0,True
EDITH AND THEODORE PINE KNOT FOUNDATION,www.pineknot.org,66718.0,0,0,0,0,False
HISTORIC BOYDTON S RENAISSANCE INC,www.boydton.org,73714.0,0,0,0,0,False
PRINCE GEORGE COUNTY HISTORICAL SOCIETY,www.princegeorgevahistoricalsociety.org,64915.0,0,0,0,0,False
POQUOSON HISTORICAL AND CULTURAL MUSEUM FOUNDATION,www.poquosonmuseum.com,50921.0,3383,116592297,10,0,False
THE TAUBMAN MUSEUM OF ART,www.taubmanmuseum.org,6345981.0,3300,95251698,64,0,False
GENERAL DOUGLAS MACARTHUR FOUNDATION,www.macarthurmemorial.org,3166114.0,2225,292463421,12,0,True
MAYMONT FOUNDATION,www.maymont.org,6612447.0,2812,281954566,26,0,True
FOUNDATION FOR HISTORIC CHRIST CHURCH INCORPORATED,www.christchurch1735.org,1878652.0,740,34324443,8,0,False
CLARKE COUNTY HISTORICAL ASSOCIATION INC,www.clarkehistory.org,478391.0,18,75740,2,0,True
HISTORIC FREDERICKSBURG FOUNDATION INC,www.hffi.org,254748.0,111273,721298567,6,3,True
GEORGE C. MARSHALL MUSEUM,www.marshallfoundation.org,1230309.0,25920,11493716932,125,150,True
NATIONAL SPORTING LIBRARY,www.nsl.org,2819786.0,0,0,0,0,False
VIRGINIA LIVING MUSEUM INC,www.thevlm.org,4210710.0,34155,865341734,2685,28,True
NORTHUMBERLAND COUNTY HISTORICAL SOCIETY,www.northumberlandvahistory.org,32925.0,0,0,0,0,False
HISTORIC LEXINGTON FOUNDATION,www.historiclexington.org,84610.0,413,37956504,2,0,False
ROANOKE CHAPTER NATIONAL RAILWAY HISTORICAL SOCIETY,www.roanokenrhs.org,787464.0,0,0,0,0,False
GOOCHLAND COUNTY HISTORICAL SOCIETY,www.goochlandhistory.org,31278.0,0,0,0,0,False
VIRGINIA TRUST FOR HISTORIC PRESERVATION,www.leefendallhouse.org,123288.0,350,69987929,2,0,False
OSS SOCIETY INC,www.osssociety.org,557050.0,0,0,0,0,False
OAKLAND-THE NELSON COUNTY MUSEUM OF HISTORY INC,www.oakland-museum.org,58934.0,0,0,0,0,False
COLONIAL SEAPORT FOUNDATION,www.colonialseaport.org,27220.0,0,0,0,0,False
VIRGINIA CAPITOL FOUNDATION,www.virginiacapitol.gov,358766.0,0,0,0,0,False
GLOUCESTER INSTITUTE,gloucesterinstitute.org,537808.0,0,0,0,0,False
THE ELIZABETH RIVER RESTORATION TRUST,www.elizabethriver.org,1327038.0,14,171093,0,0,True
LORTON ARTS FOUNDATION INC,www.workhousearts.org,2131702.0,0,0,0,0,False
MARINE CORPS ASSOCIATION FOUNDATION,www.mcuf.org,1422745.0,310,42907066,4,0,False
BLUE STAR FAMILIES,bluestarfam.org,1527975.0,0,0,0,0,False
FAYETTE AREA HISTORICAL INITIATIVE,www.fahimuseum.org,33445.0,0,0,0,0,False
FITZGERALD GRIFFIN FOUNDATION,www.fgfbooks.com,46887.0,0,0,0,0,False
RURAL RETREAT DEPOT FOUNDATION INC,www.theruralretreatdepot.com,110353.0,0,0,0,0,False
NORTH CASCADES VINTAGE AIRCRAFT MUSEUM,vintageaircraftmuseum.org,903312.0,0,0,0,0,False
HANFORD REACH INTERPRETIVE CENTER,www.visitthereach.org,4831.0,419,113923466,0,0,True
HISTORIC DOWNTOWN CHELANASSOCIATION,historicchelan.org,164296.0,0,0,0,0,False
POULSBO MARINE SCIENCE FOUNDATION,www.poulsbomsc.org,95863.0,0,0,0,0,False
SAN JUAN HISTORICAL SOCIETY,sjmuseum.org,100042.0,0,0,0,0,False
FRANKLIN COUNTY HISTORICAL SOCIETY,www.franklincountyhistoricalsociety,141692.0,0,0,0,0,False
SIDNEY MUSEUM AND ARTS ASSOCIATION,www.sidneymuseumandarts.com,49722.0,1782,93013766,97,1,True
LOPEZ ISLAND HISTORICAL SOCIETY,lopezmuseum.org,71912.0,0,0,0,0,False
ISSAQUAH HISTORICAL SOCIETY,www.issaquahhistory.org,236716.0,8699,132784459,64,0,True
NORTHWEST TREK FOUNDATION,www.nwtrek.org,103475.0,2081,246970584,14,0,True
MARYSVILLE HISTORICAL SOCIETY,www.marysvillehistory.org,48286.0,0,0,0,0,False
TULALIP FOUNDATION,www.tulalipfoundation.org,343864.0,0,0,0,0,False
INLAND NORTHWEST HONOR FLIGHT,inwhonorflight.org,393521.0,0,0,0,0,False
BAINBRIDGE ISLAND MUSEUM OF ART,www.biartmuseum.org,3530023.0,0,0,0,0,False
LEMAY FAMILY COLLECTION FOUNDATION,www.lemaymarymount.org,431066.0,2715,2777361159,119,1,True
KIDS DISCOVERY MUSEUM,kidimu.org,402291.0,10249,94372062,2927,17,True
WHATCOM COUNTY HISTORICAL SOCIETY,www.whatcomhistory.net,19611.0,0,0,0,0,False
GREAT NORTHERN RAILWAY HISTORICAL SOCIETY,www.gnrhs.org,131400.0,22664,501330130,328,0,True
MOUNT SAINT MICHAEL HISTORICAL PRESERVATION SOCIETY,www.stmichaels.org,390817.0,360,12048329,4,0,True
COUPEVILLE HISTORIC WATERFRONT ASSOCIATION,coupevillehistoricwaterfront.com,85163.0,0,0,0,0,False
WALTER CLORE WINE & CULINARY CENTER,www.theclorecenter.org,149661.0,0,0,0,0,False
HISTORIC DOWNTOWN SNOHOMISH,www.historicdowntownsnohomish.org,97333.0,0,0,0,0,False
BELLEVUE DISCOVERY CENTER FOR EARLY CHILDHOOD EDUCATION,bellevuediscovery.org,380650.0,0,0,0,0,False
ANDERSON ISLAND HISTORICAL SOCIETY,andersonislandhs.org,67404.0,0,0,0,0,False
RAINIER CLUB HISTORIC FOUNDATION,www.therainierclub.com,104528.0,267,10982090,7,0,True
MEERKERK RHODODENDRON GARDENS,www.meerkerkgardens.org,173071.0,45,430630,1,0,True
CHILDRENS MUSEUM OF WALLA WALLA,www.cmww.org,27431.0,233,3245859,3,4,True
NORTHWEST AFRICAN AMERICAN MUSEUM INC,www.urbanleague.org,737750.0,532,13152558,89,0,True
PALOUSE DISCOVERY SCIENCE CENTER INC,www.palousescience.org,237939.0,1,475,0,0,True
SEATTLE MUSEUM OF MYSTERIES,www.nwlegendsmuseum.com,40300.0,0,0,0,0,False
MARYHILL MUSEUM OF ART,www.maryhillmuseum.org,6241947.0,1576,208251064,62,0,True
HISTORICAL SOCIETY OF SEATTLE & KING COUNTY,www.seattlehistory.org,11118475.0,0,0,0,0,False
ARBORETUM FOUNDATION,www.arboretumfoundation.org,2090728.0,2952,106623799,139,0,True
SEATTLE ART MUSEUM,www.seattleartmuseum.org,72431491.0,3467,709481439,52,0,True
FREE PUBLIC ART MUSEUM,fryemuseum.org,19362510.0,0,0,0,0,False
TACOMA ART MUSEUM TACOMA WA,www.tacomaartmuseum.org,5637669.0,492530,3208869053,2361,1,True
NORTHWEST SEAPORT INC,www.nwseaport.org,132221.0,2593,91571868,270,0,True
MUSEUM OF FLIGHT FOUNDATION,www.museumofflight.org,24674520.0,7235,1881242359,156,0,True
GALLERY ONE,www.gallery-one.org,280126.0,1492,199054573,88,0,True
EL CENTRO DE LA RAZA,www.elcentrodelaraza.com,6552105.0,25,593361,3,0,True
POLSON PARK AND MUSEUM HISTORICAL SOCIETY,www.polsonmuseum.org,104966.0,84,3130890,2,0,True
